
List of user-set options:

                                    Name   Value                used
                           linear_solver = ma57                  yes
                  ma57_automatic_scaling = yes                   yes
                                max_iter = 2000                  yes
                             mu_strategy = adaptive              yes
                             output_file = DynamicOptimization_FtildeState_vAIPOPTinfo.txt  yes
                             print_level = 5                     yes
                      print_user_options = yes                   yes
                                     tol = 1e-006                yes
This is Ipopt version 3.11.0, running with linear solver ma57.

Number of nonzeros in equality constraint Jacobian...:   242731
Number of nonzeros in inequality constraint Jacobian.:    48160
Number of nonzeros in Lagrangian Hessian.............:    85374

Total number of variables............................:    49470
                     variables with only lower bounds:        0
                variables with lower and upper bounds:    49470
                     variables with only upper bounds:        0
Total number of equality constraints.................:    37387
Total number of inequality constraints...............:    24081
        inequality constraints with only lower bounds:    11997
   inequality constraints with lower and upper bounds:       87
        inequality constraints with only upper bounds:    11997

  42 1.3290195e+002 3.49e+001 5.88e+000  -2.7 9.13e-001  -0.4 9.54e-001 1.00e+000h  1
  43 1.3245676e+002 3.84e+001 3.51e+000  -3.0 3.39e+000  -0.8 1.00e+000 4.24e-001h  1
  44 1.2956571e+002 4.43e+000 1.35e+000  -2.7 2.89e+000  -1.3 1.00e+000 1.00e+000f  1
  45 1.2659188e+002 1.27e+001 8.70e-001  -3.2 7.92e+000  -1.8 9.93e-001 3.75e-001f  1
  46 1.2346156e+002 1.89e+001 7.69e-001  -3.9 1.98e+001  -2.3 1.00e+000 1.58e-001f  1
  47 1.1678616e+002 1.40e+001 1.10e-001  -2.9 7.36e+000  -1.8 1.00e+000 9.08e-001f  1
  48 1.0744847e+002 6.58e+001 1.35e-001  -2.3 1.53e+001  -2.3 5.12e-001 6.11e-001f  1
  49 9.3704964e+001 4.38e+002 7.02e+000  -2.0 5.66e+001  -2.8 3.23e-002 5.03e-001f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50 9.2837005e+001 3.22e+002 5.89e+000  -1.8 1.64e+001  -2.4 1.00e+000 2.69e-001f  1
  51 7.8065188e+001 8.25e+001 2.89e+000  -2.0 1.86e+001  -2.8 9.84e-001 7.93e-001f  1
  52 7.3491661e+001 2.92e+001 1.27e+000  -2.2 7.18e+000  -2.4 4.75e-001 6.37e-001h  1
  53 5.5660062e+001 2.88e+001 1.09e-001  -2.5 1.78e+001  -2.9 9.62e-001 1.00e+000f  1
  54 5.1220126e+001 1.53e+001 8.87e-002  -3.1 4.53e+000  -2.5 9.88e-001 9.79e-001h  1
  55 4.9448183e+001 5.70e+000 5.55e-001  -3.3 1.79e+000  -2.0 3.58e-001 9.87e-001h  1
  56 4.6660310e+001 3.89e+000 2.55e-001  -3.4 4.85e+000  -2.5 1.00e+000 5.74e-001f  1
  57 4.5134752e+001 6.43e+000 4.76e-002  -3.5 1.67e+000  -2.1 1.00e+000 9.13e-001h  1
  58 4.3163919e+001 1.33e+001 6.57e-001  -2.6 2.85e+000  -2.6 2.22e-001 7.69e-001f  1
  59 4.1379485e+001 6.89e+000 6.61e-001  -3.3 1.80e+000  -2.1 1.00e+000 9.91e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60 4.0640795e+001 5.86e+000 5.43e-001  -3.8 4.37e+000  -2.6 1.00e+000 1.69e-001f  1
  61 3.9005814e+001 1.57e+000 1.24e-001  -4.3 1.83e+000  -2.2 1.00e+000 8.93e-001f  1
  62 3.8513522e+001 1.74e+001 1.87e+000  -2.6 4.30e+000  -2.7 1.62e-001 4.02e-001f  1
  63 3.7355431e+001 9.30e+000 1.04e+000  -3.5 1.82e+000  -2.2 1.00e+000 6.35e-001h  1
  64 3.6870466e+001 8.40e+000 2.23e+000  -3.9 4.36e+000  -2.7 1.00e+000 1.11e-001f  1
  65 3.5414929e+001 2.69e+000 2.49e-001  -3.7 1.74e+000  -2.3 1.00e+000 8.36e-001f  1
  66 3.4673018e+001 2.24e+000 3.17e-001  -4.0 3.99e+000  -2.8 9.92e-001 1.86e-001f  1
  67 3.4233967e+001 1.64e+000 3.03e-001  -4.7 1.59e+000  -2.3 1.00e+000 2.76e-001h  1
  68 3.3480599e+001 1.28e+000 4.73e-001  -5.0 3.98e+000  -2.8 1.00e+000 1.89e-001f  1
  69 3.2772413e+001 5.07e-001 2.64e-001  -5.5 1.56e+000  -2.4 1.00e+000 4.53e-001f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70 3.1770134e+001 1.65e+000 6.52e-001  -4.5 4.02e+000  -2.9 1.00e+000 2.61e-001f  1
  71 3.1438712e+001 1.61e+000 3.80e-001  -4.7 1.07e+001  -3.4 9.99e-001 3.78e-002f  1
  72 3.0648211e+001 1.28e+000 2.48e-001  -5.2 4.34e+000  -2.9 1.00e+000 2.11e-001f  1
  73 2.9756553e+001 4.78e-001 4.32e-002  -4.4 1.63e+000  -2.5 1.00e+000 6.37e-001h  1
  74 2.9534698e+001 4.49e-001 2.72e-001  -5.1 4.12e+000  -3.0 1.00e+000 6.14e-002h  1
  75 2.8710656e+001 2.40e-001 3.58e-002  -5.1 1.61e+000  -2.6 1.00e+000 5.76e-001f  1
  76 2.8169220e+001 3.05e-001 4.73e-001  -3.4 4.14e+000  -3.0 6.93e-001 1.77e-001f  1
  77 2.7591651e+001 2.40e-001 5.32e-002  -4.5 1.57e+000  -2.6 1.00e+000 4.15e-001h  1
  78 2.7184613e+001 2.75e-001 2.10e-001  -5.0 4.31e+000  -3.1 9.97e-001 1.15e-001f  1
  79 2.6643461e+001 2.43e-001 2.13e-002  -5.6 1.64e+000  -2.7 1.00e+000 3.82e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80 2.6072952e+001 3.65e-001 1.80e-001  -5.7 4.22e+000  -3.1 1.00e+000 1.60e-001f  1
  81 2.5766252e+001 3.18e-001 2.45e-002  -5.3 1.64e+000  -2.7 1.00e+000 2.22e-001h  1
  82 2.5183553e+001 4.60e-001 2.49e-001  -5.0 4.56e+000  -3.2 1.00e+000 1.63e-001f  1
  83 2.4873307e+001 3.99e-001 6.29e-002  -5.2 1.77e+000  -2.8 1.00e+000 2.23e-001h  1
  84 2.4061317e+001 7.21e-001 2.68e-001  -5.2 5.00e+000  -3.2 1.00e+000 2.25e-001f  1
  85 2.3838786e+001 6.26e-001 1.08e-001  -4.9 1.94e+000  -2.8 1.00e+000 1.64e-001h  1
  86 2.3161932e+001 7.99e-001 3.20e-001  -4.9 5.45e+000  -3.3 1.00e+000 1.91e-001f  1
  87 2.2846503e+001 6.60e-001 1.84e-001  -4.2 2.12e+000  -2.9 1.00e+000 2.43e-001h  1
  88 2.2441231e+001 6.85e-001 4.40e-001  -4.2 5.90e+000  -3.3 9.58e-001 1.18e-001f  1
  89 2.1754721e+001 5.60e-001 8.61e-002  -4.7 2.34e+000  -2.9 1.00e+000 4.96e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90 2.1275576e+001 5.91e-001 3.51e-001  -5.0 6.41e+000  -3.4 1.00e+000 1.40e-001f  1
  91 2.1026048e+001 4.92e-001 1.52e-001  -4.6 2.53e+000  -3.0 1.00e+000 1.89e-001h  1
  92 2.0134447e+001 3.36e+000 4.45e-001  -4.0 6.93e+000  -3.4 1.00e+000 2.73e-001f  1
  93 1.9678060e+001 2.20e+000 2.01e-001  -4.0 2.69e+000  -3.0 1.00e+000 3.89e-001h  1
  94 1.8722163e+001 6.94e+000 3.96e-001  -3.8 7.19e+000  -3.5 8.23e-001 3.27e-001f  1
  95 1.8486324e+001 5.47e+000 1.71e-001  -4.0 2.72e+000  -3.1 1.00e+000 2.13e-001h  1
  96 1.7967861e+001 4.49e+000 3.45e-001  -4.0 6.34e+000  -3.5 8.94e-001 1.85e-001h  1
  97 1.7651840e+001 3.00e+000 2.46e-001  -3.7 2.30e+000  -3.1 1.00e+000 3.31e-001h  1
  98 1.6207448e+001 1.96e+000 2.03e-001  -3.7 6.26e+000  -3.6 8.90e-001 5.70e-001f  1
  99 1.6393594e+001 7.05e+000 6.31e-001  -3.0 2.00e+000  -3.2 4.45e-001 1.00e+000f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100 1.5891810e+001 5.45e-001 1.90e-002  -3.4 9.02e-001  -2.7 1.00e+000 1.00e+000h  1
 101 1.5303479e+001 6.70e-001 8.86e-002  -3.9 2.34e+000  -3.2 1.00e+000 4.45e-001h  1
 102 1.4440278e+001 6.45e+000 5.71e-002  -4.2 6.34e+000  -3.7 9.99e-001 3.46e-001f  1
 103 1.4206594e+001 2.16e+001 1.37e-002  -3.2 2.19e+000  -3.3 9.12e-001 8.57e-001h  1
 104 1.3914600e+001 1.15e+000 4.40e-003  -3.4 8.15e-001  -2.8 1.00e+000 9.92e-001h  1
 105 1.3391905e+001 1.91e+000 4.66e-002  -3.9 2.39e+000  -3.3 1.00e+000 5.53e-001h  1
 106 1.2835894e+001 3.46e+000 5.43e-002  -4.3 6.31e+000  -3.8 1.00e+000 2.93e-001h  1
 107 1.2672498e+001 3.22e+000 2.50e-002  -3.3 2.12e+000  -3.4 1.00e+000 8.50e-001h  1
 108 1.2669106e+001 2.08e+001 7.93e-002  -3.0 4.59e+000  -3.8 1.00e+000 8.31e-001f  1
 109 1.2122931e+001 6.55e+000 3.62e-002  -3.2 1.67e+000  -3.4 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
